million,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
New Taipei City,96578.61101900002,98880.514918,101597.89314700001,145899.00905,119916.0,130068.0,146815.0,172856.0,176700.0,171467.0,189153.0,204611.0,211304.0,217287.0,234541.0,248406.0,258487.0
Taipei City,148192.887258,155531.416179,162280.64627,173139.571548,181850.0,190557.0,198017.0,198143.0,193147.0,192431.0,225514.0,233557.0,236700.0,248905.0,270309.0,282423.0,293033.0
Taoyuan City,45593.320794,48076.080794,48577.65344400001,57174.898426,56181.0,59304.0,62599.0,67750.0,71595.0,77684.0,78481.0,83848.0,88732.0,93937.0,97467.0,103458.0,109187.0
Taichung City,75788.78,74185.0,77484.42,96887.312546,91083.0,94743.0,104544.0,118199.0,123073.0,129560.0,133205.0,144333.0,150936.0,158456.0,166071.0,176788.0,185404.0
Tainan City,58714.479999999996,59532.477,64737.22,77578.825927,72267.0,77113.0,84820.0,89187.0,88422.0,88128.0,102405.0,105953.0,108147.0,113502.0,123023.0,128510.0,133685.0
Kaohsiung City,102063.12,117931.345,115951.8,126711.53522,130189.0,139383.0,142402.0,148053.0,141873.0,141683.0,164713.0,171486.0,173866.0,182701.0,197967.0,207337.0,215091.0
Taiwan,807522.0,867824.0,882066.0,986397.0,1001911.0,1060347.0,1104506.0,1168927.0,1174691.0,1164117.0,1330253.0,1394428.0,1428200.0,1490869.0,1621664.0,1692644.0,1761893.0
