million,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
New Taipei City,17882,17959,18404,19774,19316.0,19747.0,20515.0,21556.0,22172.0,22899.0,22634.0,23467.0,24035.0,24514.0,24752.0,25459.0,25996.0
Taipei City,15606,15260,15398,15988,16533.0,16529.0,16860.0,17380.0,17753.0,17944.0,18360.0,18809.0,19164.0,19490.0,19927.0,20357.0,20745.0
Taoyuan City,9677,9790,10183,10878,10524.0,10820.0,11248.0,11718.0,11889.0,12193.0,12310.0,12667.0,12895.0,13165.0,13392.0,13710.0,13973.0
Taichung City,13826,13805,14340,14915,14900.0,15150.0,15633.0,16050.0,16280.0,16676.0,16978.0,17354.0,17672.0,18056.0,18410.0,18793.0,19162.0
Tainan City,13040,12990,13206,13941,13984.0,14134.0,14472.0,14891.0,15514.0,15707.0,15817.0,16267.0,16706.0,16946.0,17229.0,17660.0,18042.0
Kaohsiung City,17517,18189,18001,18845,19060.0,19500.0,19697.0,20302.0,19722.0,19971.0,21213.0,21491.0,21475.0,22028.0,22808.0,23096.0,23401.0
Taiwan,143582,145772,152915,154251,156053.0,159722.0,164768.0,167243.0,171191.0,176676.0,178365.0,181869.0,186157.0,190447.0,193407.0,197465.0,201811.0
