million,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
New Taipei City,32255,32093,27617,34323,32686.0,30644.0,30326.0,33407.0,31597.0,37900.0,33151.0,34790.0,35107.0,37070.0,35455.0,36843.0,37109.0
Taipei City,20691,19403,18530,25132,21039.0,21143.0,22503.0,25870.0,26200.0,28846.0,25553.0,27346.0,27873.0,28553.0,27722.0,28740.0,29084.0
Taoyuan City,19180,18515,15838,18041,19018.0,18156.0,17294.0,18038.0,18013.0,19174.0,18396.0,19013.0,19130.0,19578.0,19442.0,19844.0,20038.0
Taichung City,23647,22601,19537,24027,23474.0,22576.0,22146.0,24205.0,23987.0,26305.0,24189.0,25354.0,25653.0,26380.0,25835.0,26595.0,26866.0
Tainan City,14773,14196,11612,14208,14542.0,14310.0,14170.0,15965.0,17529.0,16671.0,16052.0,17112.0,17591.0,17290.0,17354.0,17896.0,18095.0
Kaohsiung City,22182,11116,18684,21411,19692.0,16828.0,21531.0,23338.0,22157.0,21039.0,22882.0,23360.0,22903.0,22955.0,23824.0,24002.0,24088.0
Taiwan,191310,166886,196627,229481,195800.0,195990.0,214785.0,224046.0,214177.0,215851.0,224941.0,227557.0,225853.0,228902.0,233984.0,235704.0,236818.0
